"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_37178","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia","s__macrospinosa"
"ASV_37179","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA
"ASV_37221","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Nigrogranaceae","g__Nigrograna","s__jinghongensis"
"ASV_37337","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__restricta"
"ASV_37342","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cylindriaceae","g__Cylindrium","s__desperesense"
"ASV_39255","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Barbatosphaeria","s__dryina"
"ASV_40774","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__lividum"
"ASV_37074","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Phomatosporales","f__Phomatosporaceae","g__Phomatospora","s__biseriata"
"ASV_37076","k__Ichthyosporia","p__Ichthyosporia_phy_Incertae_sedis","c__Ichthyosporea","o__Ichthyosporea_ord_Incertae_sedis","f__Ichthyosporea_fam_Incertae_sedis","g__Ichthyosporea_gen_Incertae_sedis",NA
"ASV_37083","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_37125","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophoraceae_gen_Incertae_sedis",NA
"ASV_37126","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__hiemalis"
"ASV_37128","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae",NA,NA
"ASV_37159","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__melezitolytica"
"ASV_37172","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Peltaster","s__fructicola"
"ASV_37174","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","s__serialis"
"ASV_37175","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Collariella","s__carteri"
"ASV_37177","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"ASV_37184","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae",NA,NA
